"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.156636910E0	-1.994889736E0	1.640029550E0	1.590766907E-1	2.587390070E0
1.173330279E0	-2.270428658E0	1.373614192E0	2.107334137E-2	2.653696728E0
1.190053463E0	-1.889639139E0	1.173642039E0	-5.447387695E-2	2.225115529E0
1.206772263E0	-1.746420741E0	1.804489374E0	3.185749054E-2	2.511410402E0
1.223478174E0	-2.108893156E0	1.550336361E0	-8.870887756E-2	2.618939182E0
1.240189497E0	-2.040121555E0	1.759880543E0	-1.046361923E-1	2.696335331E0
1.256900260E0	-1.533552408E0	2.250604868E0	-3.354263306E-2	2.723624491E0
1.273570028E0	-1.665918708E0	1.633336663E0	1.060571671E-1	2.335448976E0
1.290285665E0	-1.775438786E0	1.737516761E0	2.746057510E-1	2.499311044E0
1.306996559E0	-1.744702220E0	1.565266132E0	2.688169479E-1	2.359302111E0
1.323706479E0	-1.523369074E0	2.118616581E0	1.092710495E-1	2.611729258E0
1.340417294E0	-1.498725891E0	1.804120421E0	1.952791214E-1	2.353542803E0
1.357128015E0	-9.526299834E-1	1.741743684E0	-1.051149368E-1	1.988020145E0
1.373882693E0	-1.047334790E0	1.429455876E0	-6.813144684E-2	1.773385508E0
1.390563814E0	-1.006356001E0	1.388169527E0	-1.589212418E-1	1.721924214E0
1.407303508E0	-6.517238617E-1	2.014947653E0	-4.679107666E-2	2.118241592E0
1.424002766E0	-1.007474661E0	1.915859699E0	9.872627258E-2	2.166857276E0
1.440734414E0	-8.273459673E-1	2.028146505E0	-2.110481262E-3	2.190407280E0
1.457426765E0	-5.243658423E-1	1.872546673E0	2.147073746E-1	1.956397157E0
1.474138180E0	-9.233536720E-1	1.481904268E0	8.423137665E-2	1.748060980E0
1.490847436E0	-8.178462386E-1	1.470140457E0	2.207098007E-1	1.696731638E0
1.507559258E0	-2.495400906E-1	1.907347202E0	1.841173172E-1	1.932393023E0
1.524251905E0	-3.981885314E-1	1.657186031E0	1.250934601E-1	1.708937688E0
1.540979482E0	-1.130130291E-1	1.641543746E0	1.429357529E-1	1.651626000E0
1.557690633E0	-8.341370225E-1	1.054848790E0	5.070400238E-2	1.345756827E0
1.574401742E0	2.714845538E-1	1.686357975E0	1.647119522E-1	1.715994496E0
1.591110837E0	-4.493501186E-1	1.432786703E0	-1.489505768E-1	1.508966381E0
1.607822933E0	7.010102272E-2	1.553267002E0	1.500062943E-1	1.562067355E0
