"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.501560430E-1	-6.221338734E-2	7.824530005E-1	9.729815483E0	9.761424719E0
1.522459070E-1	-6.221338734E-2	7.872386575E-1	9.715457916E0	9.747499050E0
1.543353730E-1	-6.699903309E-2	7.776673436E-1	9.711270332E0	9.742588303E0
1.564243220E-1	-8.614161611E-2	7.872386575E-1	9.696913719E0	9.729198362E0
1.585141770E-1	-9.092725813E-2	7.968099117E-1	9.682557106E0	9.715713351E0
1.606016500E-1	-9.571290761E-2	7.770691514E-1	9.663414001E0	9.695079556E0
1.626794710E-1	-1.100698411E-1	7.722834945E-1	9.658628464E0	9.690079513E0
1.647820290E-1	-1.100698411E-1	7.531409264E-1	9.644869804E0	9.674856597E0
1.668703070E-1	-1.100698411E-1	7.435696125E-1	9.673583984E0	9.702743851E0
1.689632840E-1	-1.100698411E-1	7.435696125E-1	9.659226418E0	9.688429497E0
1.710492930E-1	-1.100698411E-1	7.339983582E-1	9.659226418E0	9.687699621E0
1.731386890E-1	-1.148554832E-1	7.196413875E-1	9.668798447E0	9.696222920E0
1.752285730E-1	-1.292124242E-1	7.148557901E-1	9.659226418E0	9.686504511E0
1.773201150E-1	-1.339980662E-1	7.339983582E-1	9.625727654E0	9.654602111E0
1.794063790E-1	-1.339980662E-1	7.483552694E-1	9.630513191E0	9.660474906E0
1.814959080E-1	-1.387837082E-1	7.339983582E-1	9.649655342E0	9.678525855E0
1.835844290E-1	-1.387837082E-1	7.483552694E-1	9.683155060E0	9.713021592E0
1.856743740E-1	-1.435693651E-1	7.483552694E-1	9.678369522E0	9.708320369E0
1.877636780E-1	-1.387837082E-1	7.627122402E-1	9.696913719E0	9.727853132E0
1.898449580E-1	-1.292124242E-1	7.627122402E-1	9.706484795E0	9.737262083E0
1.919113850E-1	-1.148554832E-1	7.633104324E-1	9.716055870E0	9.746670009E0
1.940337390E-1	-9.990034252E-2	7.393822074E-1	9.730413437E0	9.758975960E0
1.961208560E-1	-8.075776696E-2	7.154539824E-1	9.773484230E0	9.799968888E0
1.982178210E-1	-7.537391037E-2	6.723831892E-1	9.778867722E0	9.802246390E0
2.002987940E-1	-8.015955985E-2	6.484549642E-1	9.778867722E0	9.800672085E0
2.023885980E-1	-9.451649338E-2	6.245267391E-1	9.779465675E0	9.799842647E0
2.044780250E-1	-8.973085135E-2	6.197410822E-1	9.750752449E0	9.770839470E0
2.065672270E-1	-8.015955985E-2	6.388836503E-1	9.745368004E0	9.766616374E0
2.086570410E-1	-8.015955985E-2	6.340979934E-1	9.726823807E0	9.747800120E0
2.107479430E-1	-7.058826834E-2	6.580262184E-1	9.745368004E0	9.767813406E0
2.128353350E-1	-8.494520187E-2	6.580262184E-1	9.735796928E0	9.758378760E0
2.149243640E-1	-9.930214286E-2	6.532405615E-1	9.735796928E0	9.758192762E0
2.170131100E-1	-1.040877849E-1	6.245267391E-1	9.736394882E0	9.756959220E0
2.191028520E-1	-9.451649338E-2	5.766702294E-1	9.726823807E0	9.744361615E0
2.211923500E-1	-8.913264424E-2	5.144568682E-1	9.708279610E0	9.722309575E0
2.232819900E-1	-6.939185411E-2	4.241278172E-1	9.718449593E0	9.727947477E0
2.253712750E-1	-6.400800496E-2	3.332005441E-1	9.723833084E0	9.729750741E0
2.274620850E-1	-5.383851007E-2	2.422732860E-1	9.767501831E0	9.770654377E0
2.295493960E-1	-4.845465720E-2	1.704886109E-1	9.753743172E0	9.755353406E0
2.316386300E-1	-5.324030295E-2	1.752742529E-1	9.768099785E0	9.769817245E0
2.337275470E-1	-6.879365444E-2	3.140579760E-1	9.767501831E0	9.772791669E0
2.358171670E-1	-1.028913707E-1	5.048855543E-1	9.789635658E0	9.803186338E0
2.379064410E-1	-1.477568001E-1	7.393822074E-1	9.787840843E0	9.816839944E0
2.399958780E-1	-1.830509305E-1	9.732806087E-1	9.762716293E0	9.812818770E0
2.420861800E-1	-2.321037948E-1	1.149751306E0	9.713663101E0	9.784224603E0
2.441774580E-1	-2.518445849E-1	1.240080357E0	9.703494072E0	9.785653897E0
2.462637010E-1	-2.470589429E-1	1.230509043E0	9.698708534E0	9.779577591E0
2.483524660E-1	-2.416750938E-1	1.168295622E0	9.689735413E0	9.762903967E0
2.504402460E-1	-2.123630047E-1	1.015753269E0	9.723833084E0	9.779048144E0
2.525318390E-1	-1.968096644E-1	8.775677085E-1	9.734601021E0	9.776058314E0
2.546208980E-1	-1.722832322E-1	7.292127013E-1	9.711869240E0	9.740730815E0
