"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.395322804E0	-4.250109196E-3	-2.458006144E-3	-5.316734314E-3	7.236911368E-3
1.412032959E0	-4.149258137E-3	-2.450250089E-3	-1.009941101E-2	1.119009255E-2
1.428744629E0	-4.647821188E-3	2.337358892E-3	-1.009559631E-2	1.135722472E-2
1.445453472E0	-3.900378942E-3	7.072567940E-3	4.266738892E-3	9.134507865E-3
1.462166129E0	4.342198372E-4	7.072091103E-3	-5.300521851E-3	8.848646864E-3
1.478875835E0	1.180052757E-3	-2.493232489E-3	-5.295753479E-3	5.971075084E-3
1.495586132E0	-8.338212967E-3	-2.385638654E-3	-5.295753479E-3	1.016179473E-2
1.512296929E0	-3.402531147E-3	-2.379670739E-3	-1.007652283E-2	1.089845692E-2
1.529009321E0	-3.352463245E-3	2.459414303E-3	-5.290031433E-3	6.728459043E-3
1.545717390E0	1.531004906E-3	-2.318605781E-3	-5.287170410E-3	5.972778226E-3
1.562429203E0	-3.104716539E-3	2.520367503E-3	-5.283355713E-3	6.626112339E-3
1.579131108E0	-7.788866758E-3	-2.260997891E-3	-5.279541016E-3	9.677402037E-3
1.595814895E0	-2.904087305E-3	-6.989762187E-3	-4.920959473E-4	7.585028472E-3
1.612524633E0	1.827836037E-3	-2.049721777E-3	-1.006698608E-2	1.043487196E-2
1.629236171E0	-2.858191729E-3	2.789102495E-3	-5.278587341E-3	6.619051065E-3
1.645946325E0	1.923561096E-3	7.623456419E-3	-4.940032959E-4	7.877894028E-3
1.662657783E0	-3.460228443E-3	-1.791931689E-3	-1.006698608E-2	1.079483251E-2
1.679375861E0	-2.812922001E-3	-6.470374763E-3	-5.281448364E-3	8.813170632E-3
1.696102180E0	1.371890306E-3	3.104120493E-3	-5.281448364E-3	6.277845480E-3
1.712824521E0	-3.363043070E-3	3.058485687E-3	-5.278587341E-3	6.966195354E-3
1.729535124E0	1.469224691E-3	7.842399180E-3	-1.006317139E-2	1.284247891E-2
1.746245339E0	1.108101010E-2	3.107987344E-3	-1.006317139E-2	1.528776598E-2
1.762957130E0	-2.626746893E-3	-1.618772745E-3	-5.275726318E-3	6.111752010E-3
1.779666360E0	-7.459223270E-3	3.171205521E-3	-4.920959473E-4	8.120265678E-3
1.796378306E0	-1.293751597E-2	3.172285855E-3	-1.006603241E-2	1.669633869E-2
1.813088134E0	-2.868175507E-3	3.324933350E-3	-5.285263062E-3	6.871362176E-3
1.829799103E0	6.647020578E-3	-1.456208527E-3	-5.016326904E-4	6.823126937E-3
1.846509736E0	-2.973377705E-3	3.335379064E-3	4.281997681E-3	6.188798964E-3
1.863220175E0	-2.922832966E-3	3.239512444E-3	-5.006790161E-4	4.391818860E-3
1.879930259E0	-7.504075766E-3	-1.387231052E-3	-1.006793976E-2	1.263324875E-2
1.896642051E0	-2.668082714E-3	-1.430027187E-3	-5.279541016E-3	6.085819292E-3
1.913351239E0	-2.718299627E-3	3.357984126E-3	-5.281448364E-3	6.823408758E-3
1.930063185E0	-2.618342638E-3	3.410361707E-3	-5.278587341E-3	6.808066500E-3
1.946772118E0	7.045954466E-3	3.462769091E-3	-4.911422729E-4	7.866223036E-3
1.963483625E0	-7.258594036E-3	3.563508391E-3	-5.275726318E-3	9.655002207E-3
1.980194360E0	-2.473145723E-3	-1.166544855E-3	-5.276679993E-3	5.943116052E-3
1.996906132E0	1.860946417E-3	8.503518999E-3	-4.873275757E-4	8.718396934E-3
2.013614811E0	-2.277493477E-3	-1.063846052E-3	-5.271911621E-3	5.840530549E-3
2.030326421E0	6.888747215E-3	8.455999196E-3	-5.265235901E-3	1.211121256E-2
2.047037247E0	-2.035439014E-3	-5.893416703E-3	-5.264282227E-3	8.160149495E-3
2.063747381E0	-2.534329891E-3	3.728292882E-3	-4.758834839E-4	4.533151322E-3
2.080413347E0	-7.203876972E-3	1.326762885E-2	-1.004219055E-2	1.813205476E-2
2.097133715E0	-7.199257612E-3	-1.117035747E-3	-5.256652832E-3	8.983845392E-3
2.113843584E0	7.749259472E-3	-1.144707203E-3	-5.256652832E-3	9.433651252E-3
2.130555072E0	-1.821845770E-3	-1.023724675E-3	-5.257606506E-3	5.657699214E-3
2.147264809E0	-7.300287485E-3	3.682099283E-3	-5.260467529E-3	9.722374768E-3
2.163976102E0	-2.513527870E-3	8.432693779E-3	-4.739761353E-4	8.812082620E-3
2.180730244E0	-1.914381981E-3	-5.797781050E-3	-5.261421204E-3	8.059880679E-3
2.197433348E0	7.701128721E-3	8.475534618E-3	-4.730224609E-4	1.146149296E-2
2.214138467E0	-2.516865730E-3	-1.073554158E-3	-1.483154297E-2	1.508183671E-2
2.230858796E0	-6.649762392E-3	-5.832806230E-3	-5.259513855E-3	1.029094040E-2
2.247590699E0	2.919137478E-3	-1.023292542E-3	-4.739761353E-4	3.129400041E-3
2.264275767E0	-2.463936806E-3	-1.052960753E-3	-1.004505157E-2	1.039628646E-2
2.280985454E0	2.866923809E-3	8.584447205E-3	4.309654236E-3	1.002422593E-2
2.297695975E0	2.963751554E-3	3.767222166E-3	-4.720687866E-4	4.816496140E-3
2.314407513E0	-6.602346897E-3	-9.444728494E-4	-5.258560181E-3	8.493260192E-3
2.331135277E0	2.418607473E-3	8.692979813E-3	-5.257606506E-3	1.044317894E-2
2.347827782E0	-1.197832823E-2	3.976948559E-3	-5.260467529E-3	1.367366029E-2
2.364539300E0	2.275735140E-3	8.726656437E-3	-4.768371582E-4	9.031106060E-3
2.381233576E0	7.054299116E-3	4.107341170E-3	-1.005077362E-2	1.294802834E-2
2.397960728E0	2.963632345E-3	-5.587860942E-3	-4.749298096E-4	6.342938192E-3
2.414670628E0	2.312153578E-3	3.949552774E-3	-5.261421204E-3	6.973347429E-3
2.431381129E0	-1.203510165E-2	3.817640245E-3	-4.739761353E-4	1.263497931E-2
2.448091874E0	-2.512484789E-3	3.835745156E-3	-4.768371582E-4	4.610086159E-3
2.464803584E0	7.599115372E-3	3.804184496E-3	-4.777908325E-4	8.511560268E-3
2.481512152E0	7.591933012E-3	-5.690418184E-3	-5.264282227E-3	1.085039047E-2
2.498224077E0	6.987333298E-3	8.681811392E-3	-5.264282227E-3	1.232515083E-2
2.514934709E0	-7.413774729E-3	3.864370286E-3	-5.265235901E-3	9.880289598E-3
2.531645394E0	-2.129435539E-3	-9.505003691E-4	-4.825592041E-4	2.381346269E-3
2.548355365E0	-2.128690481E-3	-1.029767096E-3	-1.005268097E-2	1.032705854E-2
2.565058205E0	-2.177029848E-3	-9.574443102E-4	-1.005554199E-2	1.033296101E-2
2.581741139E0	2.555727959E-3	3.846220672E-3	-5.271911621E-3	7.008438556E-3
2.598452696E0	-7.060080767E-3	-9.668916464E-4	4.298210144E-3	8.321912661E-3
2.615162373E0	-2.272695303E-3	3.888398409E-3	9.082794189E-3	1.013814265E-2
2.631873728E0	2.459853888E-3	3.956213593E-3	-5.275726318E-3	7.038167043E-3
2.648583720E0	-2.323806286E-3	-5.588434637E-3	-1.963329315E-2	2.054499641E-2
2.665295136E0	2.359449863E-3	4.002109170E-3	-5.279541016E-3	7.032598012E-3
2.682049440E0	-2.373814583E-3	4.171788692E-3	-4.949569702E-4	4.825328898E-3
2.698751792E0	-7.103532553E-3	9.020403028E-3	4.292488098E-3	1.225778526E-2
2.715461184E0	2.463966608E-3	4.350602627E-3	-4.959106445E-4	5.024420567E-3
2.732173526E0	2.510875463E-3	-2.629309893E-4	-4.959106445E-4	2.572849717E-3
2.748882439E0	2.178117633E-2	1.978015900E-2	8.478164673E-3	3.061949719E-2
2.765594271E0	-2.593338490E-3	2.431538701E-2	-4.949569702E-4	2.445829987E-2
2.782304824E0	7.818847895E-3	1.022332162E-2	-4.901885986E-4	1.287986693E-2
2.799015100E0	2.631992102E-3	1.022718847E-3	-1.006031036E-2	1.044907560E-2
2.815707849E0	-1.559650898E-2	-8.117608726E-3	-1.005554199E-2	2.025489048E-2
2.832437241E0	-1.543122530E-2	-3.006771207E-3	-4.825592041E-4	1.572883501E-2
2.849146540E0	-1.541569829E-2	2.200052142E-3	-4.873275757E-4	1.557952090E-2
2.865858434E0	-1.058965921E-3	1.222914457E-2	-4.920959473E-4	1.228476879E-2
2.882568519E0	1.323437691E-2	7.908716798E-3	-1.007175446E-2	1.841566646E-2
2.899278672E0	1.337087154E-2	-1.288019121E-3	-1.485633850E-2	2.002872918E-2
2.915989569E0	8.876591921E-3	-9.138062596E-4	-1.485252380E-2	1.732704214E-2
2.932701180E0	-1.548278332E-2	4.242375493E-3	-5.280494690E-3	1.689964358E-2
2.949410062E0	-5.208909512E-3	4.557751119E-3	-4.949569702E-4	6.939078899E-3
2.966121814E0	-5.204707384E-3	4.225224257E-5	-5.283355713E-3	7.416509408E-3
2.982832610E0	8.643835783E-3	4.942655563E-3	-1.006793976E-2	1.416012542E-2
2.999542856E0	3.903806210E-3	9.990893304E-3	-4.978179932E-4	1.073803868E-2
3.016252919E0	-1.340210438E-4	5.905330181E-4	-5.280494690E-3	5.315102544E-3
3.032964945E0	-3.451108932E-5	-8.801378310E-3	-1.485157013E-2	1.726367824E-2
3.049674133E0	-4.815071821E-3	-1.345098764E-2	-1.904010773E-2	2.380419474E-2
3.066331024E0	-9.641349316E-3	-3.805950284E-3	-4.978179932E-4	1.037731646E-2
3.083060038E0	-5.688369274E-4	1.050943136E-2	-4.940032959E-4	1.053640177E-2
3.099771201E0	9.539842606E-3	5.640581250E-3	-4.949569702E-4	1.109368001E-2
3.116481447E0	8.981287479E-3	8.253976703E-4	-1.006412506E-2	1.351411926E-2
3.133192934E0	4.836350679E-3	-3.937467933E-3	-4.920959473E-4	6.255885232E-3
3.149902550E0	-1.429179311E-2	7.672458887E-4	4.294395447E-3	1.494275238E-2
3.166657839E0	-1.019459963E-2	5.666874349E-3	-4.949569702E-4	1.167425839E-2
3.183358880E0	-1.762509346E-4	8.502230048E-4	-4.997253418E-4	1.001832804E-3
3.200071181E0	8.836865425E-3	8.222609758E-4	-1.006889343E-2	1.342195659E-2
3.216781061E0	-1.361370087E-4	8.943378925E-4	-5.284309387E-3	5.361184501E-3
3.233474807E0	-5.414217710E-3	1.052484661E-2	-1.006793976E-2	1.553864732E-2
3.250202367E0	-1.028963923E-2	1.058273017E-2	-4.997253418E-4	1.476890581E-2
3.266913854E0	-1.212060452E-4	-3.750003874E-3	-5.285263062E-3	6.481606714E-3
3.283606288E0	4.557371140E-3	-8.557513356E-3	-5.289077759E-3	1.104422972E-2
3.300334551E0	4.451364279E-3	5.764074624E-3	-5.291938782E-3	9.002433909E-3
3.317044562E0	3.949075937E-3	1.066195220E-2	-5.290031433E-3	1.254020965E-2
3.333763394E0	-1.877248287E-4	5.894184113E-3	-5.025863647E-4	5.918550500E-3
3.350457548E0	-2.377629280E-4	-3.601506352E-3	-1.007652283E-2	1.070344297E-2
3.367177214E0	-4.918724298E-3	-3.527335823E-3	-5.288124084E-3	8.037425151E-3
3.383886594E0	-1.836419106E-4	6.058268249E-3	-5.054473877E-4	6.082089739E-3
3.400599070E0	-1.827180386E-4	1.245655119E-3	-1.007556915E-2	1.015392221E-2
3.417308430E0	4.546850920E-3	1.215539873E-3	-5.290985107E-3	7.081377964E-3
3.433981882E0	-1.885294914E-4	-3.493107855E-3	-5.290985107E-3	6.342859707E-3
3.450694591E0	-9.748786688E-3	1.312389970E-3	-5.054473877E-4	9.849704888E-3
3.467421815E0	-4.957467318E-3	1.089355350E-2	4.280090332E-3	1.271082858E-2
3.484128439E0	-4.952639341E-3	6.170228124E-3	-5.290985107E-3	9.518134006E-3
3.500839805E0	9.392440319E-3	1.354180276E-3	-1.486206055E-2	1.763328055E-2
3.517550101E0	-1.288950443E-4	1.323834062E-3	-1.486110687E-2	1.492051098E-2
3.534260906E0	-4.709094763E-3	6.173327565E-3	-5.283355713E-3	9.391453258E-3
3.550971103E0	-4.703104496E-3	6.140485406E-3	4.288673401E-3	8.844064250E-3
3.567665916E0	8.186697960E-5	1.424454153E-3	-5.283355713E-3	5.472624546E-3
3.584379418E0	4.711121321E-3	1.394078135E-3	-1.007366180E-2	1.120788919E-2
3.601090601E0	4.107266665E-3	1.463659108E-3	-1.007461548E-2	1.097769623E-2
3.617800225E0	-5.308449268E-3	6.211288273E-3	-5.284309387E-3	9.730552983E-3
3.634511815E0	-5.201995373E-3	6.226524711E-3	-4.949569702E-4	8.128674445E-3
3.651221908E0	-4.599392414E-3	1.458950341E-3	-4.949569702E-4	4.850559666E-3
3.667977798E0	-5.241125822E-3	1.478657126E-3	-1.006793976E-2	1.144636352E-2
3.684717514E0	-4.054009914E-4	1.105882972E-2	-4.949569702E-4	1.107732130E-2
3.701390978E0	1.919269562E-4	6.287731230E-3	-4.959106445E-4	6.310176491E-3
3.718100511E0	2.414286137E-4	6.352834404E-3	-4.949569702E-4	6.376658618E-3
3.734810778E0	-9.268641472E-3	-3.192760050E-3	-4.930496216E-4	9.815524917E-3
3.751521127E0	-4.529118538E-3	-3.120303154E-3	-4.949569702E-4	5.522154372E-3
3.768232745E0	2.050697803E-4	6.412506104E-3	-4.968643188E-4	6.434995128E-3
3.784941922E0	-4.427134991E-4	6.427161396E-3	-5.283355713E-3	8.331761305E-3
3.801654011E0	4.287749529E-3	1.112271845E-2	-5.285263062E-3	1.303969583E-2
3.818374867E0	-4.469156265E-4	6.351724267E-3	-1.006889343E-2	1.191330138E-2
3.835107583E0	-4.578411579E-3	1.587331295E-3	-5.282402039E-3	7.168350195E-3
3.851785075E0	-4.623830318E-3	6.534226239E-3	-4.997253418E-4	8.020326974E-3
3.868496948E0	-5.265504122E-3	6.447106600E-3	-5.285263062E-3	9.860259773E-3
3.885205577E0	-5.305409431E-4	6.408467889E-3	-5.006790161E-4	6.449853785E-3
3.901917523E0	-4.809200764E-4	1.590430737E-3	-9.472846985E-3	9.617462454E-3
3.918619946E0	-4.301965237E-4	6.390564144E-3	-1.006889343E-2	1.193344016E-2
3.935340598E0	1.166760921E-4	6.403654814E-3	-4.997253418E-4	6.424183505E-3
3.952055076E0	-4.713118076E-3	1.687549055E-3	-5.016326904E-4	5.031196594E-3
3.968760216E0	-2.878904343E-5	1.705095172E-3	-5.054473877E-4	1.778666752E-3
3.985467288E0	-6.767809391E-4	6.403349340E-3	-5.290985107E-3	8.333992958E-3
4.002184351E0	-5.759596825E-4	1.638673246E-3	-5.025863647E-4	1.808195956E-3
4.018887180E0	-5.753338337E-4	6.438404322E-3	4.282951355E-3	7.754207344E-3
4.035607029E0	-5.253821611E-3	1.673556864E-3	-4.997253418E-4	5.536529556E-3
4.052268286E0	7.992982864E-5	-3.034621477E-3	-5.025863647E-4	3.076996805E-3
4.068988643E0	-5.687773228E-4	6.547331810E-3	-5.289077759E-3	8.435959045E-3
4.085698278E0	-5.188882351E-4	1.138859987E-2	-5.025863647E-4	1.141148742E-2
4.102409563E0	7.855892181E-5	1.886144280E-3	-5.290031433E-3	5.616773479E-3
4.119119615E0	-4.692971706E-4	6.633758545E-3	-1.007270813E-2	1.207006385E-2
4.135831316E0	2.905726433E-5	1.770272851E-3	-5.035400391E-4	1.840723462E-3
4.152584612E0	2.807378769E-5	1.789174974E-3	-5.044937134E-4	1.859152799E-3
4.169287982E0	2.643465996E-5	1.906462014E-3	-5.290985107E-3	5.624039439E-3
4.185981585E0	-5.216300488E-4	1.153276116E-2	-5.290031433E-3	1.269886256E-2
4.202709523E0	-5.210340023E-4	6.810657680E-3	-5.054473877E-4	6.849234375E-3
4.219417988E0	-4.704296589E-4	6.723970175E-3	-5.288124084E-3	8.567224481E-3
4.236130634E0	-4.197657108E-4	6.737262011E-3	-5.286216736E-3	8.573855027E-3
